Algorithm,Function,Dimension,Population,Best Value,Execution Time
ba,ackley_function,5,30,6.326144752100642,0.0025191307067871094
ba,ackley_function,5,30,-6.581333784995216,0.0025191307067871094
ba,ackley_function,5,30,0.6706909237388459,0.0025191307067871094
ba,ackley_function,5,40,6.847351784792041,0.0033249855041503906
ba,ackley_function,5,40,6.2629748911180565,0.0033249855041503906
ba,ackley_function,5,40,6.255827279437982,0.0033249855041503906
ba,ackley_function,5,40,-0.06863589886557875,0.0033249855041503906
ba,ackley_function,5,40,6.4920115065376995,0.0033249855041503906
ba,ackley_function,5,50,-5.731294444428292,0.0041141510009765625
ba,ackley_function,5,50,-0.4319198654819608,0.0041141510009765625
ba,ackley_function,5,50,-0.31285243635123383,0.0041141510009765625
ba,ackley_function,5,50,-0.1747075065435904,0.0041141510009765625
ba,ackley_function,5,50,-0.13188800073657994,0.0041141510009765625
bfo,ackley_function,2,10,-6.300858414991637,0.015275955200195312
bfo,ackley_function,2,10,-0.038184079368568005,0.015275955200195312
bfo,ackley_function,2,20,0.012083019942974994,0.030380725860595703
bfo,ackley_function,2,20,-0.033316023140065994,0.030380725860595703
bfo,ackley_function,2,30,0.012580733339621362,0.04525589942932129
bfo,ackley_function,2,30,-0.024234683942437572,0.04525589942932129
bfo,ackley_function,2,40,-0.038228469871065485,0.06023406982421875
bfo,ackley_function,2,40,0.021265014607158017,0.06023406982421875
bfo,ackley_function,2,50,0.006899778914941543,0.09694099426269531
bfo,ackley_function,2,50,0.017058182483890898,0.09694099426269531
bfo,ackley_function,3,10,0.10400568939974489,0.016862869262695312
bfo,ackley_function,3,10,-6.1918806202490435,0.016862869262695312
bfo,ackley_function,3,10,6.1568819337412135,0.016862869262695312
bfo,ackley_function,3,20,6.2433664411408945,0.03192615509033203
bfo,ackley_function,3,20,-6.219632224640287,0.03192615509033203
bfo,ackley_function,3,20,-6.370132244940726,0.03192615509033203
bfo,ackley_function,3,30,-0.023246199417972707,0.047538042068481445
bfo,ackley_function,3,30,12.564521989789055,0.047538042068481445
bfo,ackley_function,3,30,-6.31031781435899,0.047538042068481445
bfo,ackley_function,3,40,6.362497666426575,0.06433224678039551
bfo,ackley_function,3,40,-6.3650512820290315,0.06433224678039551
bfo,ackley_function,3,40,12.554028362197226,0.06433224678039551
bfo,ackley_function,3,50,-0.035151160040623776,0.07921290397644043
bfo,ackley_function,3,50,-6.27367497906514,0.07921290397644043
bfo,ackley_function,3,50,-6.223859344518605,0.07921290397644043
bfo,ackley_function,5,10,-6.383280931289026,0.016923904418945312
bfo,ackley_function,5,10,6.304942142675337,0.016923904418945312
bfo,ackley_function,5,10,-0.05149229110254275,0.016923904418945312
bfo,ackley_function,5,10,6.1094351986109565,0.016923904418945312
bfo,ackley_function,5,10,0.08627372350235107,0.016923904418945312
bfo,ackley_function,5,20,-6.088935600524587,0.034242868423461914
bfo,ackley_function,5,20,0.23976437364797518,0.034242868423461914
bfo,ackley_function,5,20,-5.99543348693663,0.034242868423461914
bfo,ackley_function,5,20,-6.280825650834239,0.034242868423461914
bfo,ackley_function,5,20,-6.310324991763249,0.034242868423461914
bfo,ackley_function,5,30,-6.471668348050283,0.05316495895385742
bfo,ackley_function,5,30,6.073238876759833,0.05316495895385742
bfo,ackley_function,5,30,6.379284060383152,0.05316495895385742
bfo,ackley_function,5,30,6.329283882401689,0.05316495895385742
bfo,ackley_function,5,30,-6.115748136003384,0.05316495895385742
bfo,ackley_function,5,40,-6.328813522437121,0.0747840404510498
bfo,ackley_function,5,40,6.182747823933254,0.0747840404510498
bfo,ackley_function,5,40,-6.258089382157945,0.0747840404510498
bfo,ackley_function,5,40,0.17482138083069135,0.0747840404510498
bfo,ackley_function,5,40,6.391434190654127,0.0747840404510498
bfo,ackley_function,5,50,0.1418332484198464,0.08497905731201172
bfo,ackley_function,5,50,6.1586154762031295,0.08497905731201172
bfo,ackley_function,5,50,6.258332732155141,0.08497905731201172
bfo,ackley_function,5,50,-12.67164463446776,0.08497905731201172
bfo,ackley_function,5,50,0.09685096761798367,0.08497905731201172
ca,ackley_function,2,10,-0.012798573760385012,0.002368927001953125
ca,ackley_function,2,10,-0.11103851991999503,0.002368927001953125
ca,ackley_function,2,20,0.12092996863495631,0.003538846969604492
ca,ackley_function,2,20,0.9195247430739211,0.003538846969604492
ca,ackley_function,2,30,-0.03705640951623926,0.004803180694580078
ca,ackley_function,2,30,0.019427086686799516,0.004803180694580078
ca,ackley_function,2,40,0.00299553099198252,0.005937099456787109
ca,ackley_function,2,40,-0.11305501124294315,0.005937099456787109
ca,ackley_function,2,50,-0.047778018788132925,0.0072231292724609375
ca,ackley_function,2,50,0.051712500215684715,0.0072231292724609375
ca,ackley_function,3,10,5.759484512752626,0.0023696422576904297
ca,ackley_function,3,10,6.283290231497757,0.0023696422576904297
ca,ackley_function,3,10,-0.7238825791293313,0.0023696422576904297
ca,ackley_function,3,20,-0.01912985892149796,0.003699779510498047
ca,ackley_function,3,20,0.08328878792269749,0.003699779510498047
ca,ackley_function,3,20,-0.19436926449718234,0.003699779510498047
ca,ackley_function,3,30,-0.015606095227425482,0.004935741424560547
ca,ackley_function,3,30,0.03859321766293333,0.004935741424560547
ca,ackley_function,3,30,-0.047282063830864085,0.004935741424560547
ca,ackley_function,3,40,-0.01830402205867529,0.00617218017578125
ca,ackley_function,3,40,-0.05304794522333051,0.00617218017578125
ca,ackley_function,3,40,-0.07912982541011436,0.00617218017578125
ca,ackley_function,3,50,-0.06791485300929354,0.0073528289794921875
ca,ackley_function,3,50,0.14145013402981843,0.0073528289794921875
ca,ackley_function,3,50,0.23177674284614733,0.0073528289794921875
ca,ackley_function,5,10,0.08479035225804199,0.0025031566619873047
ca,ackley_function,5,10,0.5630407905341581,0.0025031566619873047
ca,ackley_function,5,10,1.0428087084363118,0.0025031566619873047
ca,ackley_function,5,10,-0.7019005183216045,0.0025031566619873047
ca,ackley_function,5,10,-0.8505328710906976,0.0025031566619873047
ca,ackley_function,5,20,-6.2543674449401,0.0037877559661865234
ca,ackley_function,5,20,-5.459943676287353,0.0037877559661865234
ca,ackley_function,5,20,-0.9639055971124596,0.0037877559661865234
ca,ackley_function,5,20,-0.20504572027881424,0.0037877559661865234
ca,ackley_function,5,20,6.720463049212909,0.0037877559661865234
ca,ackley_function,5,30,-0.14363120939192583,0.0052449703216552734
ca,ackley_function,5,30,-7.153666484545428,0.0052449703216552734
ca,ackley_function,5,30,6.643507140259596,0.0052449703216552734
ca,ackley_function,5,30,-0.16430217604350655,0.0052449703216552734
ca,ackley_function,5,30,-11.818928939406904,0.0052449703216552734
ca,ackley_function,5,40,-0.22451834039010277,0.006440877914428711
ca,ackley_function,5,40,-6.041810831622035,0.006440877914428711
ca,ackley_function,5,40,0.2072496445102217,0.006440877914428711
ca,ackley_function,5,40,0.14229626309850918,0.006440877914428711
ca,ackley_function,5,40,-0.1662851909662551,0.006440877914428711
ca,ackley_function,5,50,0.055564744289320955,0.007704019546508789
ca,ackley_function,5,50,-0.0970305796965159,0.007704019546508789
ca,ackley_function,5,50,-0.21928055841759336,0.007704019546508789
ca,ackley_function,5,50,0.014950023928395423,0.007704019546508789
ca,ackley_function,5,50,6.051889893320383,0.007704019546508789
cso,ackley_function,2,10,0.2832172029024598,0.005575895309448242
cso,ackley_function,2,10,-0.39002937491324374,0.005575895309448242
cso,ackley_function,2,20,-0.038933225093865674,0.006451129913330078
cso,ackley_function,2,20,0.06962238503199765,0.006451129913330078
cso,ackley_function,2,30,0.49376076271268765,0.007236003875732422
cso,ackley_function,2,30,-0.2019319327160467,0.007236003875732422
cso,ackley_function,2,40,-0.04889323015896174,0.008126974105834961
cso,ackley_function,2,40,0.03037343091272504,0.008126974105834961
cso,ackley_function,2,50,0.0037705378963539993,0.009746789932250977
cso,ackley_function,2,50,-0.2899465189097119,0.009746789932250977
cso,ackley_function,3,10,-0.12179605571640373,0.006123065948486328
cso,ackley_function,3,10,-6.192357921608657,0.006123065948486328
cso,ackley_function,3,10,-6.048255103776386,0.006123065948486328
cso,ackley_function,3,20,6.128507877779012,0.00715327262878418
cso,ackley_function,3,20,6.36435126200916,0.00715327262878418
cso,ackley_function,3,20,-6.3434090968248515,0.00715327262878418
cso,ackley_function,3,30,-6.424235396068637,0.008623838424682617
cso,ackley_function,3,30,6.245730969378446,0.008623838424682617
cso,ackley_function,3,30,6.197744822654915,0.008623838424682617
cso,ackley_function,3,40,-0.3033130003729947,0.009189128875732422
cso,ackley_function,3,40,-0.04785490892408317,0.009189128875732422
cso,ackley_function,3,40,-0.38595073391638324,0.009189128875732422
cso,ackley_function,3,50,-6.306262178060508,0.01002192497253418
cso,ackley_function,3,50,-6.453513286798765,0.01002192497253418
cso,ackley_function,3,50,-6.087724452776663,0.01002192497253418
cso,ackley_function,5,10,7.13782620022269,0.007338047027587891
cso,ackley_function,5,10,6.165391620141079,0.007338047027587891
cso,ackley_function,5,10,5.634442959578971,0.007338047027587891
cso,ackley_function,5,10,-5.932005462919047,0.007338047027587891
cso,ackley_function,5,10,-6.538744033412276,0.007338047027587891
cso,ackley_function,5,20,-5.946768089632928,0.008656024932861328
cso,ackley_function,5,20,0.1564523822741345,0.008656024932861328
cso,ackley_function,5,20,-0.7460582945070724,0.008656024932861328
cso,ackley_function,5,20,-6.122564942031749,0.008656024932861328
cso,ackley_function,5,20,6.520020002464042,0.008656024932861328
cso,ackley_function,5,30,-0.16982704803953236,0.009820938110351562
cso,ackley_function,5,30,-0.09587896651416881,0.009820938110351562
cso,ackley_function,5,30,-6.151345519565815,0.009820938110351562
cso,ackley_function,5,30,-1.0253119413556901,0.009820938110351562
cso,ackley_function,5,30,6.243969407805729,0.009820938110351562
cso,ackley_function,5,40,6.183434275687438,0.011082887649536133
cso,ackley_function,5,40,0.03157816342545398,0.011082887649536133
cso,ackley_function,5,40,6.480115237159497,0.011082887649536133
cso,ackley_function,5,40,0.1638512282178476,0.011082887649536133
cso,ackley_function,5,40,-6.422240681539089,0.011082887649536133
cso,ackley_function,5,50,6.247720601304351,0.012508869171142578
cso,ackley_function,5,50,0.01833845726357808,0.012508869171142578
cso,ackley_function,5,50,5.799095698762027,0.012508869171142578
cso,ackley_function,5,50,-6.509584319769868,0.012508869171142578
cso,ackley_function,5,50,6.808217791735839,0.012508869171142578
fa,ackley_function,2,10,-6.230705780053635,0.005782127380371094
fa,ackley_function,2,10,0.04561337813307945,0.005782127380371094
fa,ackley_function,2,20,-0.12163806919938588,0.020959854125976562
fa,ackley_function,2,20,-6.175551599250697,0.020959854125976562
fa,ackley_function,2,30,-6.339262282651366,0.04907512664794922
fa,ackley_function,2,30,-6.376337437099943,0.04907512664794922
fa,ackley_function,2,40,-0.0034651624833932668,0.08574295043945312
fa,ackley_function,2,40,0.004221366243898779,0.08574295043945312
fa,ackley_function,2,50,6.278516922701175,0.1345508098602295
fa,ackley_function,2,50,6.266934116590144,0.1345508098602295
fa,ackley_function,3,10,0.00938589838881806,0.006072044372558594
fa,ackley_function,3,10,-0.05715369307600847,0.006072044372558594
fa,ackley_function,3,10,6.255338454464597,0.006072044372558594
fa,ackley_function,3,20,-0.020546561947214534,0.02383899688720703
fa,ackley_function,3,20,-6.243534489481301,0.02383899688720703
fa,ackley_function,3,20,-6.3138460862766195,0.02383899688720703
fa,ackley_function,3,30,-0.005489377567241069,0.051946163177490234
fa,ackley_function,3,30,-6.38301627350856,0.051946163177490234
fa,ackley_function,3,30,-0.045270571662971965,0.051946163177490234
fa,ackley_function,3,40,0.021658129798717927,0.0896000862121582
fa,ackley_function,3,40,6.263315618643276,0.0896000862121582
fa,ackley_function,3,40,6.224526114649618,0.0896000862121582
fa,ackley_function,3,50,0.02167073086489292,0.1394059658050537
fa,ackley_function,3,50,6.270521737805726,0.1394059658050537
fa,ackley_function,3,50,-6.243044708180279,0.1394059658050537
fa,ackley_function,5,10,-0.18500931215578373,0.00673985481262207
fa,ackley_function,5,10,-0.5610611001649201,0.00673985481262207
fa,ackley_function,5,10,-6.422218997819467,0.00673985481262207
fa,ackley_function,5,10,0.12985236299444916,0.00673985481262207
fa,ackley_function,5,10,-5.902557080486806,0.00673985481262207
fa,ackley_function,5,20,-6.325742481838797,0.025587081909179688
fa,ackley_function,5,20,-6.182816977914028,0.025587081909179688
fa,ackley_function,5,20,6.3163338676421,0.025587081909179688
fa,ackley_function,5,20,-0.14178057031742286,0.025587081909179688
fa,ackley_function,5,20,0.050037444272028164,0.025587081909179688
fa,ackley_function,5,30,-0.050376550072959984,0.05722403526306152
fa,ackley_function,5,30,6.304668492530695,0.05722403526306152
fa,ackley_function,5,30,0.03578843059196692,0.05722403526306152
fa,ackley_function,5,30,6.263475923955963,0.05722403526306152
fa,ackley_function,5,30,-0.09005812555146481,0.05722403526306152
fa,ackley_function,5,40,-0.04549288346375181,0.10341906547546387
fa,ackley_function,5,40,-6.281287744856425,0.10341906547546387
fa,ackley_function,5,40,6.228901022585528,0.10341906547546387
fa,ackley_function,5,40,0.011060052235458348,0.10341906547546387
fa,ackley_function,5,40,-0.04275655401066232,0.10341906547546387
fa,ackley_function,5,50,-6.251717669071647,0.15078091621398926
fa,ackley_function,5,50,-6.1755174913342765,0.15078091621398926
fa,ackley_function,5,50,0.058661779816992006,0.15078091621398926
fa,ackley_function,5,50,6.322055513138431,0.15078091621398926
fa,ackley_function,5,50,0.10830601396586537,0.15078091621398926
fwa,ackley_function,2,10,7.93249240479798e-16,0.008588790893554688
fwa,ackley_function,2,10,-2.407943750115541e-16,0.008588790893554688
fwa,ackley_function,2,20,-5.634432891830058e-19,0.023227930068969727
fwa,ackley_function,2,20,3.0240198025603745e-18,0.023227930068969727
fwa,ackley_function,2,30,1.6397188827766845e-17,0.04389619827270508
fwa,ackley_function,2,30,7.028425920414829e-17,0.04389619827270508
fwa,ackley_function,2,40,-3.59112026326321e-17,0.06925606727600098
fwa,ackley_function,2,40,-2.0181648947540236e-16,0.06925606727600098
fwa,ackley_function,2,50,2.5995746160092554e-17,0.10138082504272461
fwa,ackley_function,2,50,7.70179176799173e-17,0.10138082504272461
fwa,ackley_function,3,10,-6.091643247203811e-13,0.009636878967285156
fwa,ackley_function,3,10,5.526528697432626e-13,0.009636878967285156
fwa,ackley_function,3,10,1.1596809828958597e-12,0.009636878967285156
fwa,ackley_function,3,20,1.1517734697893819e-14,0.026288986206054688
fwa,ackley_function,3,20,1.6856711807941022e-17,0.026288986206054688
fwa,ackley_function,3,20,1.3088807106236301e-19,0.026288986206054688
fwa,ackley_function,3,30,1.6653946477450957e-15,0.0500340461730957
fwa,ackley_function,3,30,-2.499203889865009e-16,0.0500340461730957
fwa,ackley_function,3,30,-5.679084061063807e-16,0.0500340461730957
fwa,ackley_function,3,40,3.0629974674603324e-16,0.07888007164001465
fwa,ackley_function,3,40,-8.404641598878905e-17,0.07888007164001465
fwa,ackley_function,3,40,2.8104469489358707e-16,0.07888007164001465
fwa,ackley_function,3,50,-4.344206464705825e-17,0.11501312255859375
fwa,ackley_function,3,50,2.9283427865153407e-16,0.11501312255859375
fwa,ackley_function,3,50,-1.0618006193977243e-16,0.11501312255859375
fwa,ackley_function,5,10,-1.626276951668898e-11,0.012991905212402344
fwa,ackley_function,5,10,4.0040409811889925e-12,0.012991905212402344
fwa,ackley_function,5,10,-1.5229591204843086e-11,0.012991905212402344
fwa,ackley_function,5,10,-1.0112771633687116e-11,0.012991905212402344
fwa,ackley_function,5,10,-8.796908359818664e-15,0.012991905212402344
fwa,ackley_function,5,20,-1.428666643948715e-10,0.03318500518798828
fwa,ackley_function,5,20,-5.202592194795261e-12,0.03318500518798828
fwa,ackley_function,5,20,1.0027240708858129e-10,0.03318500518798828
fwa,ackley_function,5,20,4.6284724234633407e-11,0.03318500518798828
fwa,ackley_function,5,20,-2.4207674133812647e-11,0.03318500518798828
fwa,ackley_function,5,30,-1.11712983183262e-16,0.06378793716430664
fwa,ackley_function,5,30,-5.535109068623269e-15,0.06378793716430664
fwa,ackley_function,5,30,-3.747097065420191e-16,0.06378793716430664
fwa,ackley_function,5,30,-2.2335255493277085e-15,0.06378793716430664
fwa,ackley_function,5,30,3.820159722538778e-17,0.06378793716430664
fwa,ackley_function,5,40,-4.542304355428882e-16,0.1026768684387207
fwa,ackley_function,5,40,1.0550931846799366e-15,0.1026768684387207
fwa,ackley_function,5,40,-1.9469920124839788e-21,0.1026768684387207
fwa,ackley_function,5,40,1.1981324279390327e-19,0.1026768684387207
fwa,ackley_function,5,40,5.26312793483655e-17,0.1026768684387207
fwa,ackley_function,5,50,-2.191899343836376e-15,0.1442251205444336
fwa,ackley_function,5,50,-4.5065037085617325e-15,0.1442251205444336
fwa,ackley_function,5,50,9.927524788425853e-14,0.1442251205444336
fwa,ackley_function,5,50,-2.5347304268005896e-13,0.1442251205444336
fwa,ackley_function,5,50,-5.096851682807927e-16,0.1442251205444336
gsa,ackley_function,2,10,-0.08706294548798083,0.005476236343383789
gsa,ackley_function,2,10,-0.2212416724580495,0.005476236343383789
gsa,ackley_function,2,20,-0.12891688679536029,0.019930124282836914
gsa,ackley_function,2,20,-0.14620422042079678,0.019930124282836914
gsa,ackley_function,2,30,0.0512983621339449,0.042964935302734375
gsa,ackley_function,2,30,0.019288395342823672,0.042964935302734375
gsa,ackley_function,2,40,-0.0450414164535754,0.0747830867767334
gsa,ackley_function,2,40,0.10661073604221746,0.0747830867767334
gsa,ackley_function,2,50,-0.004088553540850054,0.11594390869140625
gsa,ackley_function,2,50,0.02436488198510813,0.11594390869140625
gsa,ackley_function,3,10,-0.17236283333335517,0.00577092170715332
gsa,ackley_function,3,10,0.17519157957719966,0.00577092170715332
gsa,ackley_function,3,10,6.314337515505413,0.00577092170715332
